                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.75157,                 1.3636,                0.61697,                 1.1592,                0.65244,                0.15854,                 0.1116,                0.03553,                0.15357,                0.13467,                0.05712,                0.01962,                 2.1783,                 5.3429,                 3.4683,                 2.6227,              0.0010399,              0.0010399,              0.0010399
                     40,                0.77588,                 1.4064,                0.63995,                 1.1741,                 0.1842,                0.22144,                0.14823,                0.05451,                0.67392,                0.10408,                0.08406,                 0.0301,                 2.0557,                 5.0446,                 3.3884,                 2.4548,              0.0010234,              0.0010234,              0.0010234
                     41,                0.78517,                 1.4175,                0.62888,                 1.1772,                0.28271,                0.18496,                 0.1303,                0.04048,                0.66223,                0.14024,                0.07734,                0.02126,                 2.2059,                 6.1372,                   3.58,                 2.6723,              0.0010069,              0.0010069,              0.0010069
                     42,                0.76674,                 1.3684,                0.62588,                 1.1655,                0.67899,                0.13415,                0.10438,                0.03291,                0.62144,                0.09756,                0.06197,                0.01987,                 2.2029,                 5.9738,                 3.8325,                 2.6713,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70694,                 1.3326,                0.57259,                 1.1339,                0.68185,                0.12195,                0.10861,                0.03136,                0.61702,                0.13415,                0.07643,                0.02062,                 2.2645,                  5.291,                 3.9131,                 2.7005,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71944,                 1.3832,                0.59191,                 1.1459,                0.13748,                0.17073,                0.10712,                0.03652,                0.62259,                0.11585,                0.05074,                0.01852,                 2.1563,                 5.8453,                 3.8176,                 2.6283,             0.00095736,             0.00095736,             0.00095736
                     45,                0.73703,                 1.3383,                0.57717,                 1.1535,                0.64018,                0.13415,                 0.0946,                0.03179,                0.61824,                0.11585,                 0.0621,                0.02365,                 2.4018,                 5.7975,                 3.9995,                  2.989,             0.00094085,             0.00094085,             0.00094085
                     46,                0.73245,                 1.3075,                0.55691,                 1.1517,                0.62338,                0.12805,                0.06847,                0.01975,                0.09941,                0.10366,                0.04341,                0.01265,                 2.3375,                 5.6631,                 4.1244,                  2.954,             0.00092435,             0.00092435,             0.00092435
                     47,                0.74857,                 1.4064,                0.61778,                 1.1599,                0.66108,                0.10366,                0.10728,                 0.0411,                 0.6167,                0.09146,                0.05303,                0.02022,                  2.206,                 5.2835,                 3.6738,                 2.7166,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.7073,                 1.3026,                0.58112,                 1.1314,                0.66404,                0.13415,                0.11516,                0.04056,                0.61925,                0.09756,                0.07762,                0.02269,                 2.2572,                 5.4047,                 3.6067,                 2.6612,             0.00089134,             0.00089134,             0.00089134
                     49,                0.70434,                 1.3808,                 0.5921,                 1.1292,                0.72034,                0.13415,                 0.1111,                0.03809,                0.65078,                0.09756,                0.06231,                0.02318,                 2.1322,                 5.2016,                 3.8983,                 2.5473,             0.00087484,             0.00087484,             0.00087484
                     50,                0.70543,                 1.2974,                0.58188,                 1.1187,                0.64775,                0.14024,                0.10056,                0.03978,                0.62386,                0.10366,                0.06326,                0.02521,                 2.1538,                 5.2218,                 3.7544,                 2.5896,             0.00085834,             0.00085834,             0.00085834
                     51,                0.69393,                 1.3035,                0.58241,                 1.1278,                0.66158,                0.14024,                0.11015,                0.04269,                0.62515,                0.10976,                0.05885,                0.02586,                 2.3064,                 5.4402,                 3.8158,                 2.7098,             0.00084184,             0.00084184,             0.00084184
                     52,                0.73741,                 1.3501,                0.59378,                 1.1272,                0.64279,                0.14024,                0.09233,                0.03018,                0.61172,                0.10976,                0.05636,                0.01806,                 2.1839,                 5.4353,                 3.6511,                 2.6829,             0.00082533,             0.00082533,             0.00082533
                     53,                0.71319,                 1.3155,                0.56276,                 1.1308,                 0.6732,                0.17073,                0.12211,                0.03959,                0.62206,                0.12805,                0.06545,                0.02126,                 2.1508,                 5.7467,                 3.3341,                  2.663,             0.00080883,             0.00080883,             0.00080883
                     54,                0.68799,                 1.3095,                0.57221,                 1.1019,                0.66828,                0.15244,                0.11973,                0.04081,                0.61527,                0.10976,                0.07137,                0.02441,                 2.0356,                 5.8647,                 3.6207,                 2.5289,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.7259,                 1.2932,                0.55258,                 1.1316,                 0.6467,                0.13415,                0.07753,                0.03108,                0.62191,                0.09146,                0.04712,                0.01811,                 2.1146,                 6.2068,                 3.8894,                 2.6563,             0.00077582,             0.00077582,             0.00077582
                     56,                0.65443,                 1.2426,                0.55228,                  1.098,                0.67992,                0.15244,                 0.0991,                0.03223,                 0.6151,                0.09756,                0.05015,                0.02066,                 2.1999,                 5.9148,                  3.838,                 2.7566,             0.00075932,             0.00075932,             0.00075932
                     57,                0.69501,                 1.2793,                0.56719,                 1.1074,                 0.6987,                0.13415,                0.11234,                0.04451,                0.64132,                0.09756,                0.06294,                0.02303,                 2.1322,                 5.9406,                 3.7249,                 2.6096,             0.00074282,             0.00074282,             0.00074282
                     58,                0.66877,                 1.2338,                0.52999,                 1.1006,                0.64477,                0.13415,                0.09812,                0.03217,                0.10093,                0.14024,                0.06789,                0.01841,                 2.1255,                 5.7718,                 3.7664,                 2.5998,             0.00072631,             0.00072631,             0.00072631
                     59,                0.67595,                 1.2618,                0.52441,                 1.0974,                0.68766,                0.14024,                0.13592,                0.04203,                 0.1082,                0.12195,                 0.0728,                0.02008,                 2.0891,                 6.0064,                 3.7816,                 2.5905,             0.00070981,             0.00070981,             0.00070981
                     60,                0.68199,                 1.2675,                0.53049,                 1.1134,                0.66757,                0.14024,                0.13297,                0.03815,                0.61642,                0.09756,                0.06024,                 0.0183,                 2.1649,                 6.0798,                 3.9192,                 2.6916,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66732,                 1.2543,                0.53755,                 1.0873,                0.27252,                0.18218,                0.13938,                0.04605,                0.62278,                0.10976,                0.06804,                0.02338,                 2.2535,                 5.8932,                 3.6883,                 2.7909,              0.0006768,              0.0006768,              0.0006768
                     62,                0.67553,                 1.2785,                0.52507,                 1.1043,                0.68154,                0.12805,                0.12427,                0.03995,                0.64556,                0.10268,                0.06334,                0.02218,                 2.2636,                 5.8976,                 3.6742,                   2.82,              0.0006603,              0.0006603,              0.0006603
                     63,                0.65796,                  1.222,                0.53481,                 1.0882,                0.15632,                0.14024,                 0.0998,                0.03462,                0.12546,                0.09146,                0.06046,                0.01885,                 2.2887,                 5.2473,                 3.7685,                   2.75,              0.0006438,              0.0006438,              0.0006438
                     64,                0.64016,                 1.1759,                0.48928,                 1.0901,                0.18031,                0.17073,                0.12553,                0.03761,                0.12912,                0.12195,                0.07967,                0.02194,                 2.2013,                 5.3929,                 3.8743,                 2.7414,             0.00062729,             0.00062729,             0.00062729
                     65,                 0.6264,                 1.1085,                0.49922,                 1.0798,                0.67194,                0.15854,                0.10984,                0.03308,                0.62557,                0.11585,                0.05716,                0.01851,                 2.1781,                  5.593,                 3.9895,                 2.7174,             0.00061079,             0.00061079,             0.00061079
                     66,                0.68376,                 1.2073,                0.50649,                 1.1087,                  0.675,                0.15761,                 0.0979,                0.03001,                0.60639,                0.10976,                0.05349,                0.02085,                  2.236,                 6.2123,                 4.0874,                 2.8249,             0.00059429,             0.00059429,             0.00059429
                     67,                0.60397,                 1.2215,                0.48613,                 1.0694,                0.68421,                0.15854,                0.10709,                0.02788,                0.62234,                0.09146,                0.04333,                0.01528,                 2.3038,                 6.1185,                 4.0479,                 2.8601,             0.00057778,             0.00057778,             0.00057778
                     68,                0.62537,                  1.151,                0.49347,                 1.0969,                0.67996,                0.15244,                0.10802,                0.03654,                0.62141,                0.11585,                0.05873,                0.02144,                 2.3146,                 5.6699,                 3.9428,                 2.8503,             0.00056128,             0.00056128,             0.00056128
                     69,                0.63934,                 1.1928,                 0.4886,                 1.0722,                0.65846,                0.13415,                0.09951,                0.03389,                0.62017,                0.10976,                0.06076,                0.02367,                 2.3786,                 5.8447,                 3.9324,                 2.8916,             0.00054478,             0.00054478,             0.00054478
                     70,                0.59049,                 1.1147,                0.46122,                 1.0472,                 0.6539,                0.15244,                0.13062,                0.04622,                0.61546,                0.11585,                0.07061,                0.02211,                 2.3128,                 5.9082,                 3.9339,                 2.8675,             0.00052827,             0.00052827,             0.00052827
                     71,                0.57739,                 1.0995,                0.43911,                 1.0574,                0.16663,                0.15244,                0.11087,                  0.039,                0.12648,                0.11585,                0.06565,                0.02169,                 2.2698,                 5.9548,                 3.7842,                 2.7917,             0.00051177,             0.00051177,             0.00051177
                     72,                0.57674,                 1.0545,                0.41779,                 1.0529,                0.15224,                0.14634,                0.10276,                0.03507,                0.63491,                0.10976,                0.06308,                0.02188,                 2.2545,                 5.9386,                 3.8908,                 2.7782,             0.00049527,             0.00049527,             0.00049527
                     73,                0.57338,                 1.0781,                0.45033,                 1.0625,                0.63712,                0.12195,                 0.0843,                0.03019,                0.11619,                0.11585,                 0.0549,                0.02002,                 2.2717,                 6.1803,                 3.9838,                 2.8588,             0.00047876,             0.00047876,             0.00047876
                     74,                0.55486,                  1.044,                0.43167,                 1.0448,                0.65915,                0.12805,                0.08707,                0.03059,                0.11075,                0.10976,                 0.0536,                0.02047,                  2.242,                 5.8912,                 3.9058,                 2.8037,             0.00046226,             0.00046226,             0.00046226
                     75,                0.53957,                 1.0414,                0.42996,                 1.0318,                 0.6522,                0.14024,                0.09773,                0.03339,                 0.1133,                0.10976,                0.05493,                0.02039,                 2.2498,                 6.0158,                 3.9634,                 2.8463,             0.00044576,             0.00044576,             0.00044576
                     76,                0.54455,                 1.0443,                0.41242,                 1.0336,                0.66201,                0.12805,                0.09633,                0.03192,                0.61835,                0.10976,                0.05853,                0.02052,                 2.2967,                 5.8655,                 4.0525,                 2.9386,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58049,                 1.0876,                0.44783,                 1.0624,                0.65406,                0.12805,                0.10019,                0.03788,                0.60996,                0.10976,                0.06421,                0.02349,                  2.209,                 5.9854,                 3.9775,                 2.8209,             0.00041275,             0.00041275,             0.00041275
                     78,                0.57887,                 1.0669,                0.42349,                 1.0424,                0.30281,                0.15549,                0.12898,                0.04651,                0.60072,                0.10366,                0.06899,                0.02578,                 2.1414,                 6.4374,                 3.9242,                 2.6833,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54127,                 1.0533,                0.42132,                 1.0292,                0.15428,                0.14634,                0.12108,                0.04253,                0.11561,                0.10976,                0.06868,                0.02538,                 2.2033,                 5.9376,                 3.9092,                 2.7387,             0.00037974,             0.00037974,             0.00037974
                     80,                0.54286,                0.99164,                0.40465,                 1.0355,                0.65074,                0.13415,                 0.1006,                0.03371,                0.61628,                0.10366,                0.06157,                0.02252,                 2.2112,                 6.1082,                 4.0896,                 2.8116,             0.00036324,             0.00036324,             0.00036324
                     81,                0.55286,                 1.0239,                0.42596,                 1.0455,                0.67192,                0.14634,                0.09795,                0.03432,                0.62854,                0.10976,                0.06183,                0.02118,                 2.2229,                 6.2233,                 4.0361,                 2.7928,             0.00034674,             0.00034674,             0.00034674
                     82,                0.53121,                 1.0145,                0.40617,                 1.0325,                0.66195,                0.14634,                0.10797,                0.03802,                0.62815,                0.11585,                0.06809,                0.02318,                 2.1375,                 6.3281,                 3.9975,                 2.7052,             0.00033023,             0.00033023,             0.00033023
                     83,                0.52575,                0.98142,                0.40562,                 1.0374,                0.67625,                0.12805,                0.12096,                0.03991,                0.64232,                0.10366,                0.06608,                0.02157,                 2.1541,                 6.4333,                 3.9444,                 2.7414,             0.00031373,             0.00031373,             0.00031373
                     84,                0.55454,                 1.0627,                 0.4362,                 1.0397,                0.65362,                0.15244,                0.11183,                0.03566,                0.62267,                0.11585,                 0.0649,                0.02076,                 2.1373,                 6.3811,                  3.992,                 2.7629,             0.00029723,             0.00029723,             0.00029723
                     85,                0.53626,                 1.0253,                0.40384,                  1.021,                0.64566,                0.14634,                0.10172,                0.03345,                0.61294,                0.11585,                0.06479,                0.02034,                 2.1218,                 6.3353,                 3.9928,                 2.7236,             0.00028072,             0.00028072,             0.00028072
                     86,                0.52473,                0.99378,                0.39579,                  1.018,                0.63225,                0.14634,                0.10829,                0.03601,                0.61013,                0.12195,                0.06221,                0.02007,                 2.1273,                 6.0449,                  3.896,                 2.7026,             0.00026422,             0.00026422,             0.00026422
                     87,                0.53712,                 1.0214,                 0.4208,                 1.0169,                0.67296,                0.13415,                0.12262,                0.04086,                0.63348,                0.10366,                0.06006,                0.02072,                 2.1838,                 6.0432,                 3.9118,                 2.7282,             0.00024772,             0.00024772,             0.00024772
                     88,                0.52925,                0.96835,                0.39677,                  1.027,                 0.6706,                0.14024,                0.12515,                0.04131,                0.63348,                0.10976,                 0.0631,                0.02152,                 2.1857,                 6.1121,                 3.9298,                 2.7442,             0.00023121,             0.00023121,             0.00023121
                     89,                0.52758,                0.99414,                0.42044,                 1.0157,                 0.6701,                0.15244,                0.12425,                0.04047,                  0.111,                0.12195,                 0.0621,                0.02267,                   2.13,                 6.3333,                 4.0188,                  2.722,             0.00021471,             0.00021471,             0.00021471
                     90,                0.49898,                 0.9526,                0.37416,                0.99283,                0.65589,                0.15244,                0.10684,                0.03636,                0.61114,                0.10366,                0.05973,                0.02273,                 2.1512,                 6.5712,                 4.0657,                 2.7926,             0.00019821,             0.00019821,             0.00019821
                     91,                0.38158,                0.79158,                0.36188,                0.98692,                 0.6603,                0.14024,                0.08183,                0.02637,                 0.6239,                0.10976,                0.05101,                0.01666,                 2.2136,                 6.6433,                 4.0455,                 2.8506,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35928,                0.76048,                0.32931,                 0.9655,                0.67556,                0.14634,                0.08998,                0.02433,                0.63995,                0.10976,                0.05485,                0.01694,                 2.3255,                 6.6789,                 3.9588,                 2.9887,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34282,                0.71158,                0.30955,                0.96423,                0.66301,                0.13415,                0.08677,                 0.0263,                  0.621,                0.12195,                0.05531,                0.01783,                 2.2609,                 6.7078,                 4.0666,                 2.9313,              0.0001487,              0.0001487,              0.0001487
                     94,                0.32924,                0.68551,                0.29095,                0.95339,                0.66009,                0.13415,                0.08631,                0.02662,                0.61425,                0.11585,                 0.0542,                0.01722,                 2.2621,                 6.8056,                 4.3167,                  2.941,             0.00013219,             0.00013219,             0.00013219
                     95,                0.31709,                0.69293,                0.28632,                0.95826,                0.66081,                0.13415,                0.08474,                  0.026,                0.61658,                0.11585,                0.05044,                0.01659,                 2.2548,                 6.6401,                  4.262,                 2.9164,             0.00011569,             0.00011569,             0.00011569
                     96,                0.31969,                0.66171,                0.28355,                0.93257,                0.66368,                0.13415,                0.08635,                0.02692,                0.61408,                0.11585,                0.05229,                0.01731,                 2.2494,                  6.512,                 4.1225,                 2.8767,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.30932,                0.64814,                0.25796,                0.92786,                0.66915,                0.13415,                 0.1033,                0.03163,                0.61758,                0.11585,                0.05994,                0.01877,                 2.2149,                 6.4566,                 4.0914,                  2.838,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.29706,                0.63161,                0.26543,                0.92957,                0.67142,                0.14634,                0.11402,                0.03518,                0.62147,                0.11585,                0.05772,                0.01862,                  2.219,                 6.3292,                  4.049,                 2.8312,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                    0.3,                0.62186,                0.26268,                0.93864,                0.65517,                0.14024,                0.10649,                0.03757,                0.62093,                0.11585,                0.05496,                0.01925,                 2.2134,                 6.2813,                 4.0381,                 2.8351,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.29029,                0.61787,                0.26006,                  0.941,                0.67019,                0.15854,                0.12621,                0.03994,                0.62252,                0.10976,                0.05588,                0.02034,                 2.2016,                 6.2953,                 4.0336,                 2.8085,             3.3173e-05,             3.3173e-05,             3.3173e-05
